# 10 SANIYELIK TEKLI REPLIKLER — ORYN
# tavan 18 kelime · ekran sorusu sozde degil yazida
# REPLIK | EKRAN SORUSU
You wake between three and four. That is not insomnia. Tonight, do not reach for your phone. | Do you wake at 3am?
You have always felt like a visitor here. That feeling is not sadness. It is memory. | Have you always felt this?
Crowds drain you faster than they should. You are not antisocial. You are reading too much at once. | Does this happen to you?
Electronics fail around you more often than they should. You have noticed. So have we. | Has this happened to you?
You keep seeing the same number. You stopped mentioning it to people. Do not stop noticing it. | What number do you see?
Animals come to you before they come to anyone else. Children look at you too long. | Does this happen to you?
You cannot listen to certain songs anymore. Your body remembers what your mind agreed to forget. | Which song is it for you?
You feel a pressure at the top of your head, most often at dusk. That is not tension. | Do you feel this?
You stopped explaining it to your family years ago. You were not wrong. You were early. | Did you stop explaining too?
Something in you already knew this message was coming. That is why you are still watching. | Did you know?
